AAPL,AVGO,BND,GOOGL,IYW,LLY,META,MGC,MGK,MSFT,NVDA,QQQ,SPY,TLT,VOO
0.019924841094503994,0.022584518112133217,0.0024667677564603205,0.01562721833749137,0.01251582325129514,0.010978659443247834,0.017420631015124918,0.010139429430556162,0.010198542799007355,0.020879364796810518,0.022343451582717798,0.011159991467429688,0.010293785839870069,0.01129848600801727,0.01024049103219233
0.02137004384789594,0.02215970222122429,0.0025135076109482194,0.01630706590674785,0.013123446071081209,0.01107428580267616,0.017727584818502534,0.011893455540257654,0.01143039880367943,0.019653100322660166,0.022383136660769364,0.011871327692173406,0.012522580478793248,0.011681357277215703,0.012369812141910796
0.01959561611918767,0.022702763849748012,0.0025705646508262046,0.01748450440525027,0.01361689252508514,0.010929772541007618,0.01933579184365377,0.011931465508466535,0.011905581547521854,0.01912565653755532,0.024992448556978596,0.012505900159165481,0.01194941372187122,0.012184141339979566,0.011841415041630374
0.019127787408836056,0.022891415548178327,0.002410378302254381,0.015609628330454857,0.012978500377087017,0.011059511673076568,0.018073378283739297,0.011454365986404808,0.011587009989842224,0.018109368986041607,0.026068471283377893,0.0123798467455056,0.011931711352365473,0.01150369667415476,0.011863389440544724
0.021957887767069972,0.026705922715421535,0.002381685043330545,0.016248290233270887,0.014554298706763804,0.012086242963907283,0.017366531273865653,0.012590042202343887,0.012671489105695299,0.01990368540774952,0.024927891446171576,0.013309160051570915,0.012977887544778825,0.01177246356256117,0.012896468746491686
0.019883110093656807,0.023936413256578425,0.0022943195067153107,0.015588393144748778,0.0143918337172971,0.01188599506520585,0.023820963408018585,0.01204339068789518,0.012286651853279899,0.018159975294996772,0.027781010326071977,0.012907386676796426,0.01218521915150725,0.011589097797683296,0.01213770435950229
0.02111137101466433,0.02451166165886436,0.002233887095291289,0.01555225223980613,0.013768587785839724,0.011987396757659117,0.016437164418170544,0.011505780129232101,0.011867027198480637,0.018131759250856513,0.02334166749742014,0.01252448745778192,0.011668855531065366,0.011210087596094659,0.011582026390635086
0.01952492277229122,0.023067186438481904,0.002119674154853404,0.015078493805567313,0.013707919276990633,0.011756997831829994,0.02020396269568793,0.010672934907768073,0.01114116518102624,0.01649622765857418,0.025734030911153786,0.011962859326191504,0.010641228150636405,0.010780114326715244,0.010558475992935332
0.018618408174724935,0.022526192565010063,0.002175028360477546,0.014911738616253077,0.012288262433740054,0.01175111837801319,0.014984394160810379,0.009973069642903634,0.010456147726373884,0.01632458254139453,0.02202334193752975,0.011125985789503166,0.01015173976202127,0.010614964874782506,0.010083053132654556
0.020276970846976893,0.02274706116565482,0.002554659813172857,0.01440938817572462,0.013350281566853915,0.01158819494519634,0.01813085175914403,0.01003771224864189,0.010801198182873008,0.015492994941862898,0.023602125596158107,0.011812978396666573,0.010214420552171198,0.011122096495388794,0.010206953148556764
